Additional Information,Additional information 1,Additional information 2,Area,Building type,City,Creation date,Desc,District,Elevator,Energy certificate,Heating,Location,Market,Pms,Price,Rent,Rooms,Security,Source,Street,Title,Update date,Url,Utilities,Voivodeship,Windows,Year of construction
balkon garaż/miejsce parkingowe piwnica pom. użytkowe,Ogrzewanie:miejskiePiętro:4/5Czynsz:730 złStan wykończenia:do zamieszkaniaRynek:wtórnyForma własności:pełna własnośćDostępne od:brak informacjiTyp ogłoszeniodawcy:prywatnyInformacje dodatkowe:balkon garaż/miejsce parkingowe piwnica pom. użytkoweBudynek i materiałyRok budowy:2018Winda:takRodzaj zabudowy:blokOkna:plastikoweBezpieczeństwo:teren zamknięty monitoring / ochronaWyposażenieWyposażenie:zmywarka lodówka meble piekarnik kuchenka pralkaZabezpieczenia:domofon / wideofonMedia:telewizja kablowa internet,Rok budowy:2018Winda:takRodzaj zabudowy:blokOkna:plastikoweBezpieczeństwo:teren zamknięty monitoring / ochronaWyposażenieWyposażenie:zmywarka lodówka meble piekarnik kuchenka pralkaZabezpieczenia:domofon / wideofonMedia:telewizja kablowa internet,57.37,blok,Warszawa,10.04.2024,"Dzień dobry
Sprzedajemy przytulne i funkcjonalne, dwustronne 3 pokojowe mieszkanie o powierzchni 57,37m2 wraz z miejscem postojowym w hali garażowej. Mieszkanie od momentu zakupu przeznaczone było na wynajem.
Mieszkanie znajduje się na IV piętrze w budynku z 2018 roku. Odświeżone, stan jak na zdjęciach.

W salonie w oknach i drzwiach balkonowych zamontowane rolety plisowane.
Mieszkanie jest bardzo ciepłe i ciche,a korzystanie latem z balkonu komfortowe, ze względu na zamontowaną markizę poziomą oraz brak sąsiadów z boku i nad głową :) no i dużą powierzchnię 8,35m2
W bloku na potrzeby mieszkańców wydzielone są zamykane pomieszczenia na rowery.
Klatka monitorowana z domofonem, zamknięta, regularnie sprzątana podobnie jak garaż.
Czynsz (2 osoby) razem z miejscem postojowym około 730zł.

Kameralne nowoczesne osiedle zamknięte, obejmujące tylko kilka niewysokich bloków sprzyja poczuciu bezpieczeństwa i nawiązywaniu kontaktów sąsiedzkich. Wszyscy są bardzo grzeczni i mili, a osiedle bardzo zadbane. Place zabaw dla dzieci, ławeczki, dużo zieleni. Całość monitorowana, oraz ochrona na miejscu.
Koło bramki wejściowej stacja Verturilo, kilka różnych paczkomatów, wiele sklepów, salonów usługowych i restauracji. W odległości 200m duża, nowoczesna szkoła podstawowa z przedszkolem.
Osiedle Nowy Targówek stanowi prawdziwą enklawę ciszy, zieleni i komfortu. Można w 15 minut znaleźć się w lesie, obok na ogromnej łące pospacerować z psem lub kawałek dalej pojeździć konno. Lokalizacja tego osiedla zapewnia idealny balans pomiędzy życiem miejskim a bliskością natury. Znajdujesz się tutaj w otoczeniu przyrody, jednocześnie mając dostęp do pełnej infrastruktury, takiej jak sklepy, restauracje i usługi, które sprawią, że codzienne życie będzie komfortowe i wygodne.
Dogodne połączenia komunikacyjne umożliwiają łatwe przemieszczanie się zarówno w kierunku centrum miasta, jak i poza jego granice. To doskonałe miejsce dla osób ceniących sobie harmonię pomiędzy życiem miejskim a otaczającą przyrodą.
Bezpośrednio przy osiedlu znajduje się przystanek autobusowy ""Niwa"" skąd w 15 minut dojedziesz autobusem do Dworca Gdańskiego. Potrzebujesz 10 minut aby dojść do metra Trocka i znaleźć się w centrum Warszawy. Świetnie rozbudowana infrastruktura drogowa, dogodny dostęp do komunikacji miejskiej, ścieżek rowerowych i wyjazdu na drogę ekspresową S8.
W przypadku szybkiej transakcji gotówkowej możliwość negocjacji ceny. 
Ogłoszenie prywatne od właściciela.
Zapraszam do kontaktu pod numerem telefonu 
UWAGA: pośrednikom zdecydowanie dziękuję, nic tego nie zmieni. Proszę nie dzwonić. Szanujmy swój czas i swoje prawa.",Targówek,tak,,miejskie,"Płosa, Targówek Mieszkaniowy, Targówek, Warszawa, mazowieckie",wtórny,17 954 zł/m²,1 030 000 zł,730 zł,3,"domofon,wideofon",Otodom,,NowyTargówek IVpiętro 57m+loga8m+miejsce parkingow,16.09.2024,https://www.otodom.pl/pl/oferta/nowytargowek-ivpietro-57m-loga8m-miejsce-parkingow-ID4q3SW,telewizja kablowa internet,mazowieckie,plastikowe,2018
garaż/miejsce parkingowe,Ogrzewanie:brak informacjiPiętro:1/7Czynsz:brak informacjiStan wykończenia:do wykończeniaRynek:pierwotnyForma własności:pełna własnośćDostępne od:brak informacjiTyp ogłoszeniodawcy:deweloperInformacje dodatkowe:garaż/miejsce parkingoweSpacer wirtualny,,45.62,,Warszawa,7.08.2023,"2-pokojowe mieszkanie numer A.M1.08  na 1. piętrze w Inwestycji LIVIN' PRAGA Dewelopera GH DevelopmentPonadstandardowa wysokość pomieszczeńTeren spacerowy i rowerowy nad Wisłą (7 minut rowerem)Przystanek tramwajowy i autobusowy (3 minuty spacerem)Biedronka (8 minut spacerem)CH Atrium Targówek, Multikino (5 minut samochodem)LIVIN' PRAGA - poznaj inwestycjęInwestycja LIVIN' PRAGA jest realizowana przy ul. A. Kotsisa 2 na warszawskiej Pradze Północ. To część planu rewitalizacji dawnych obszarów FSO, które obecnie cieszą się znaczącym wzrostem rozwoju oraz popularności wśród mieszkańców Warszawy. Nowoczesna architektoniczna forma budynku LIVIN' PRAGA stanowi wizualną bramę do nowego, przyjaznego centrum Żerania. Starannie dobrane detale i rytm architektoniczny nadają projektowi charakterystyczny wygląd, który stanie się wizytówką tej części miasta.Każde z 143 dostępnych mieszkań wyróżnia się praktycznym układem, pozwalającym na różnorodne aranżacje przestrzeni. Duże okna zapewniają dostęp do odpowiedniej ilości naturalnego światła. Dodatkowo, do każdego mieszkania przynależy balkon, loggia lub ogródek, które stanowią doskonałe miejsce do odpoczynku.Dla wygody mieszkańców przewidziano 20 miejsc parkingowych przed budynkiem oraz 136 miejsc w garażu podziemnym, wraz z 22 schowkami.Atuty inwestycji: mieszkania 2-, 3- i 4-pokojowe,metraże od 33 do 79 mkw.,9 lokali usługowych na parterze,każde mieszkanie z balkonem, loggią lub ogródkiem.osiedle monitorowane,wysokie okna,funkcjonalne układy mieszkań.LIVIN' PRAGA cieszy się wyjątkową lokalizacją, która zapewnia dostęp zarówno do istniejących udogodnień, jak i tych, które będą powstawać wraz z rozwojem okolicy. W niewielkiej odległości, zaledwie kilkaset metrów, znajdują się sklepy takie jak Żabka, Biedronka, Galeria Handlowa Nowa Praga oraz Galeria Wileńska. Ponadto, w pobliżu dostępne są renomowane prywatne uczelnie, w tym Akademia Leona Koźmińskiego, oraz różnorodne lokale gastronomiczne.Wybierając Livin’ Praga, zamieszkasz blisko centrum Warszawy, by móc w pełni korzystać z miejskich udogodnień i komunikacyjnej infrastruktury. Sąsiedztwo linii tramwajowych i autobusowych, a także wygodny dojazd do drogi ekspresowej S8, to gwarancja szybkiego dojazdu na lewy brzeg Wisły i do odległych dzielnic miasta.Centrum Warszawy – 15 min samochodemPrzystanek tramwajowy i autobusowy – 3 min pieszoStacja kolejowa Warszawa-ZOO – 10 min tramwajemWygodny dojazd do trasy S8 – 2 min samochodemBliskość nadwiślańskich obszarów zieleni i terenów rekreacyjnych czyni LIVIN' PRAGA atrakcyjnym nie tylko dzięki swojej funkcjonalnej architekturze, ale także jako obietnica oddechu od codzienności. W bliskiej odległości znajdują się chronione obszary nadwiślańskie objęte programem Natura 2000, warszawskie ZOO oraz liczne place zabaw. Mieszkańcy będą potrzebować zaledwie 5 minut, aby dotrzeć do miejskiego uzdrowiska i SPA, a także lokalnego Ośrodka Sportu i Rekreacji(OSIR).LIVIN' PRAGA to najnowszy projekt dewelopera GH Development, który ma ponad 100-letnie doświadczenie na belgijskim rynku, a od 2018 roku z powodzeniem realizuje projekty mieszkaniowe w Polsce.LIVIN' PRAGA - lokalizacjaPraga-Północ, ul. Kotsisa5,2 km do centrum4 min. spacerem do przystanku autobusowego4 min. spacerem do przystanku tramwajowego4 min. samochodem do stacji kolejowejdojazd do centrum: 18 min samochodemIstotne punkty w okolicy inwestycjiPrzystanek autobusowy (236 m, 4 minuty spacerem)Przystanek tramwajowy (239 m, 4 minuty spacerem)Apteka (501 m, 7 minut spacerem)Metropol Home and Interior (585 m, 8 minut spacerem)Sklep: Biedronka (649 m, 9 minut spacerem)Poczta (640 m, 9 minut spacerem)Szkoła Wyższa (909 m, 12 minut spacerem)Oferta pochodzi z serwisu obido",Praga-Północ,,,brak informacji,"ul. Aleksandra Kotsisa, Pelcowizna, Praga-Północ, Warszawa, mazowieckie",pierwotny,14 659 zł/m²,668 763 zł,brak informacji,2,,Otodom,ul. Aleksandra Kotsisa,2-pokojowe mieszkanie 45m2 + loggia Bezpośrednio,16.09.2024,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-45m2-loggia-bezposrednio-ID4mASu,,mazowieckie,,
balkon garaż/miejsce parkingowe,Ogrzewanie:brak informacjiPiętro:3/5Czynsz:brak informacjiStan wykończenia:do wykończeniaRynek:pierwotnyForma własności:pełna własnośćDostępne od:brak informacjiTyp ogłoszeniodawcy:deweloperInformacje dodatkowe:balkon garaż/miejsce parkingoweSpacer wirtualny,,87.52,,Warszawa,10.05.2024,"4-pokojowe mieszkanie numer 26  na 3. piętrze w Inwestycji Nowy Marysin VII Dewelopera APM DevelopmentRezerwat przyrody Olszynka Grochowska (7 minut spacerem)Las Miejski (10 minut spacerem)Przystanek autobusowy (4 minuty spacerem)Stacja SKM ""Warszawa Gocławek"" (4 minuty spacerem)Biedronka (7 minut samochodem), Lidl (9 minut samochodem)CH King Cross Praga (6 minut samochodem)CH Promenada, Cinema City (10 minut samochodem)Nowy Marysin VII - poznaj inwestycjęAPARTAMENTY NOWY MARYSIN – znakomita inwestycja w Wawrze!Nowy Marysin VII to kolejny etap inwestycji od dewelopera APM Development, wyróżniający się najkorzystniej położonym budynkiem – w zacisznym miejscu przy ul. Goździków, w oddaleniu od ul. Stepowej. W budynku rozplanowano 41 mieszkań o funkcjonalnych rozkładach i pomieszczeniach wysokich na 2,70 m. Do wyboru są mieszkania 1-, 2-, 3- i 4-pokojowe o metrażach od 25 do 87 mkw. Przy projekcie każdego z lokali wzięto pod uwagę ustawne sypialnie, przestronne pokoje dzienne z otwartymi kuchniami, łazienki oraz miejsca w holach przeznaczone na zabudowę garderobianą. Do mieszkań będą przynależeć ogródki lub balkony.W okolicy osiedla znajdują się przystanki autobusowe, stacja SKM, sklepy, lokale usługowe, centra handlowe oraz lasy miejskie i rezerwaty.Nowy Marysin VII - lokalizacjaWawer, ul. Bluszczowa8,5 km do centrum4 min. spacerem do przystanku autobusowego4 min. spacerem do stacji SKM4 min. spacerem do stacji kolejowejdojazd do centrum: 21 min samochodemIstotne punkty w okolicy inwestycjiPrzystanek autobusowy (286 m, 4 minuty spacerem)Stacja SKM (294 m, 4 minuty spacerem)Stacja kolejowa (294 m, 4 minuty spacerem)Restauracja (355 m, 5 minut spacerem)Lekarz (407 m, 6 minut spacerem)Apteka (620 m, 9 minut spacerem)Przedszkole (655 m, 11 minut spacerem)Weterynarz (748 m, 11 minut spacerem)Szkoła Podstawowa (848 m, 12 minut spacerem)Piekarnia (936 m, 14 minut spacerem)Oferta pochodzi z serwisu obido",Wawer,,,brak informacji,"ul. Optyczna, Marysin Wawerski, Wawer, Warszawa, mazowieckie",pierwotny,,Zapytaj o cenę,brak informacji,4,,Otodom,ul. Optyczna,4-pokojowe mieszkanie 87m2 + balkon Bezpośrednio,16.09.2024,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-87m2-balkon-bezposrednio-ID4qv8Y,,mazowieckie,,
balkon,Ogrzewanie:brak informacjiPiętro:3/6Czynsz:720 złStan wykończenia:do zamieszkaniaRynek:wtórnyForma własności:pełna własnośćDostępne od:2024-02-01Typ ogłoszeniodawcy:biuro nieruchomości Informacje dodatkowe:balkonBudynek i materiałyRok budowy:1912Winda:nieOkna:drewniane,Rok budowy:1912Winda:nieOkna:drewniane,46.83,,Warszawa,1.02.2024,"UNIKATOWA OFERTA!!! Mieszkanie 2 pokojowe położone w kamienicy przy ul. Okólnik róg Ordynackiej wybudowanej w 1912 roku na terenach dawnej Ordynacji Krasickich. Kamienica jako jeden z nielicznych budynków ocalała po wojnie w prawie niezmienionej formie. Długo jednak nie była remontowana. Obecnie jest po generalnym remoncie. Przepiękne patio, brama wejściowa i nowe eleganckie drzwi wejściowe do klatek schodowych, domofon. Klatka schodowa posiada marmurowe podesty i schody. Nowa piękna winda. Lokal położony jest na trzecim piętrze z widokiem na ciche patio.  Duży salon z wyjściem na balkon, niewielka sypialnia, kuchnia ciemna, łazienka z kabiną prysznicową w przedpokoju pojemna szafa. Prestiżowa lokalizacja, blisko do ul. Nowy Świat, Muzeum Fryderyka Chopina, Uniwersytetu Muzycznego, Uniwersytetu Warszawskiego. Spacerem do Starego miasta. Mieszkanie dla konesera, który inwestując zostanie posiadaczem "" Perełki warszawskiej"". Polecam i zapraszam na prezentację.Klucze w biurze.",Śródmieście,nie,,brak informacji,"ul. Okólnik, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",wtórny,32 031 zł/m²,1 500 000 zł,720 zł,2,,Otodom,ul. Okólnik,ul. Okólnik - unikatowa oferta,16.09.2024,https://www.otodom.pl/pl/oferta/ul-okolnik-unikatowa-oferta-ID4oYtA,,mazowieckie,drewniane,1912
balkon piwnica,Ogrzewanie:miejskiePiętro:1/10Czynsz:450 złStan wykończenia:do zamieszkaniaRynek:wtórnyForma własności:pełna własnośćDostępne od:2024-04-15Typ ogłoszeniodawcy:biuro nieruchomości Informacje dodatkowe:balkon piwnicaBudynek i materiałyRok budowy:1964Winda:takRodzaj zabudowy:blokMateriał budynku:innyOkna:plastikoweWyposażenieZabezpieczenia:domofon / wideofon,Rok budowy:1964Winda:takRodzaj zabudowy:blokMateriał budynku:innyOkna:plastikoweWyposażenieZabezpieczenia:domofon / wideofon,34.4,blok,Warszawa,15.04.2024,"Ulica Twarda - druga linia zabudowy.Rejon ulic - Siennej i Żelaznej, w pobliżu ulicy Złotej, w pobliżu Dworca Centralnego oraz Pałacu Kultury do sprzedania bardzo zgrabne dwu - pokojowe mieszkanie z balkonem oraz widną kuchnią.Prawie na 35 metrach kwadratowych, znajduje się:- pokój - 16m2 z dużymi oknami,- pokój - 9m2 z balkonem z elektrycznymi roletami,- kuchnia - 6m2 z oknem,- przedpokój z idealnym miejscem na dużą szafę,- łazienka z brodzikiem, wc i umywalką.Okna wymienione, na podłodze klepka, instalacje wod-kan po wymianie. Budynek w bardzo dobrej kondycji.Dlaczego to mieszkanie:- ścisłe centrum ( 7 min na piechotę do Dworca Centralnego ),- tramwaje, autobusy,- metro,- kolejka podmiejska,- dwa samodzielne pokoje, widna oddzielna kuchnia,- widok z balkonu na zielone zagospodarowane podwórko,- świetnie rozbudowana sieć sklepów i restauracji.Zapraszam.ZAPRASZAM - klucze w biurze.",Wola,tak,,miejskie,"ul. Twarda, Mirów, Wola, Warszawa, mazowieckie",wtórny,21 500 zł/m²,739 600 zł,450 zł,2,"domofon,wideofon",Otodom,ul. Twarda,"Twarda - 2 pokoje, widna kuchnia, balkon - Centrum",16.09.2024,https://www.otodom.pl/pl/oferta/twarda-2-pokoje-widna-kuchnia-balkon-centrum-ID4q8YT,,mazowieckie,plastikowe,1964
balkon garaż/miejsce parkingowe oddzielna kuchnia,Ogrzewanie:innePiętro:6/8Czynsz:700 złStan wykończenia:do zamieszkaniaRynek:wtórnyForma własności:pełna własnośćDostępne od:brak informacjiTyp ogłoszeniodawcy:biuro nieruchomości Informacje dodatkowe:balkon garaż/miejsce parkingowe oddzielna kuchniaBudynek i materiałyRok budowy:2014Winda:takRodzaj zabudowy:apartamentowiecOkna:aluminiowe,Rok budowy:2014Winda:takRodzaj zabudowy:apartamentowiecOkna:aluminiowe,36.63,apartamentowiec,Warszawa,19.05.2024,"WYŁĄCZNOŚĆŻoliborz, Rezydencja Arteco, Jasnodworska, 36,63 m2, 2 pokoje, 6/8 p., 2014 rok budowy, do wprowadzenia.Oferujemy atrakcyjnie zlokalizowaną nieruchomość przy ul. Jasnodworskiej, zrealizowaną przez developera Marvipol S.A.Deweloper zadbał o estetykę i rekreację w częściach wspólnych tego kameralnego osiedla. Spora jego część to pełne zielni ogrody, drzewa, duży bezpieczny plac zabaw, profesjonalna siłownia. Mieszkanie nie wymaga nakładów. Jest funkcjonalne, idealne dla pary lub singla.W jego skład wchodzą:- salon z wyjściem  na szeroki  wygodny balkon (4,61 m2),- sypialnia  ze sporą przestrzenią we wnęce  na garderobę,- niezależna kompletna kuchnia,- łazienka z toaletą, która  pod względem przestrzeni zapewnia swobodę w użytkowaniu,- przedpokój.Z sypialni i salonu piękny widok na panoramę Żoliborza.Do mieszkania przynależy miejsce parkingowe zespolone z komórką lokatorską.Oferta sprzedaży obejmuje:- lokal mieszkalny - 715tys,- miejsce postojowe w parkingu podziemnym - 50 tys,- komórkę lokatorską (3,87 m2)- 30 tys.  ::KONTAKT DO AGENTA Olga BrzozowskaPośrednik odpowiedzialny zawodowo za wykonanie umowy pośrednictwa: Robert Brzozowski (licencja nr: 2424)-Prezentowane ogłoszenie nie stanowi oferty w rozumieniu art. 66 Kodeksu Cywilnego. Dokładamy wszelkich starań, aby informacje dotyczące oferowanych nieruchomości były w miarę możliwości dokładne i aktualne. Ponieważ jednak z różnych powodów nie zawsze dają się zweryfikować, firma Brzozowski Nieruchomości nie ponosi odpowiedzialności za ich dokładność i aktualność.",Żoliborz,tak,,inne,"Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",wtórny,19 520 zł/m²,715 000 zł,700 zł,2,,Otodom,,"Rezydencja Arteco, Jasnodworska, 2 pok., 36 m2",16.09.2024,https://www.otodom.pl/pl/oferta/rezydencja-arteco-jasnodworska-2-pok-36-m2-ID4qEYY,,mazowieckie,aluminiowe,2014
piwnica,Ogrzewanie:brak informacjiPiętro:1/6Czynsz:brak informacjiStan wykończenia:do zamieszkaniaRynek:wtórnyForma własności:pełna własnośćDostępne od:2024-07-02Typ ogłoszeniodawcy:biuro nieruchomości Informacje dodatkowe:piwnicaBudynek i materiałyRok budowy:1956Winda:takOkna:plastikowe,Rok budowy:1956Winda:takOkna:plastikowe,41.35,,Warszawa,2.07.2024,"Zapraszam,mieszkanie przy zbiegu ulic - Pięknej, Poznańskiej i Koszykowej.Ścisłe Centrum Warszawy - w zasięgu wzroku Plac Konstytucji i ulica Lwowska.Mieszkanie znajduje się w budynku z cegły z 1956r. Brama wejściowa po remoncie, nowa winda, instalacje - gazowa, wodno-kanalizacyjna wymienione.Mieszkanie składa się z dwóch bardzo widnych pokoi - 13 i 13,5m2, widnej, pięciometrowej kuchni, łazienki oraz przedpokoju z szafą wnękową.Z pokoju większego jest przejście do pokoju mniejszego.Ze względu na lokalizację, budynek - oferta godna polecenie.Klucze w biurze.",Śródmieście,tak,,brak informacji,"ul. Piękna, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie",wtórny,32 000 zł/m²,1 323 200 zł,brak informacji,2,,Otodom,ul. Piękna,"Piękne na Pięknej - 2 pokoje, widna kuchnia",16.09.2024,https://www.otodom.pl/pl/oferta/piekne-na-pieknej-2-pokoje-widna-kuchnia-ID4rmIQ,,mazowieckie,plastikowe,1956
balkon,Ogrzewanie:miejskiePiętro:5/8Czynsz:brak informacjiStan wykończenia:do zamieszkaniaRynek:wtórnyForma własności:pełna własnośćDostępne od:brak informacjiTyp ogłoszeniodawcy:biuro nieruchomości Informacje dodatkowe:balkonBudynek i materiałyRok budowy:1964Winda:takRodzaj zabudowy:blok,Rok budowy:1964Winda:takRodzaj zabudowy:blok,47.4,blok,Warszawa,19.08.2024,"Do sprzedania mieszkanie 3-pokojowe o powierzchni 47,4 m2 na Ochocie przy ul. Skorochód Majewskiego.Lokal mieści się na 5. piętrze w 8-piętrowym budynku z windą z lat 70Mieszkanie znajduje się 2 min od przystanku tramwajowego Dickensa, z którego można dojechać w 20 min do Centrum. W pobliżu znajduje się Park Korotyńskiego, Park Szczęśliwicki, Hale Banacha, Warszawski Uniwersytet Medyczny. Blisko Żabka, Carrefour Express, Biedronka.Mieszkanie składa się z 3 pokoi (salon przechodni), osobnej kuchni, łazienki, przedpokoju i loggii (47 m2 razem z loggią). Jasne, dwustronne.W przedpokoju znajdują się dwie szafy wnękowe, w sypialni jedna, są również trzy duże pawlacze.Do mieszkania przynależy piwnica w cenie 20 000 PLN  oraz wolnostojący garaż z KW w obrębie budynku o powierzchni 18 m2 z automatyczną bramą, dostępem do prądu i wody w cenie 70 000 PLN. ::KONTAKT DO AGENTA Olga BrzozowskaPośrednik odpowiedzialny zawodowo za wykonanie umowy pośrednictwa: Robert Brzozowski (licencja nr: 2424)-Prezentowane ogłoszenie nie stanowi oferty w rozumieniu art. 66 Kodeksu Cywilnego. Dokładamy wszelkich starań, aby informacje dotyczące oferowanych nieruchomości były w miarę możliwości dokładne i aktualne. Ponieważ jednak z różnych powodów nie zawsze dają się zweryfikować, firma Brzozowski Nieruchomości nie ponosi odpowiedzialności za ich dokładność i aktualność.",Ochota,tak,,miejskie,"Rakowiec, Ochota, Warszawa, mazowieckie",wtórny,15 823 zł/m²,750 000 zł,brak informacji,3,,Otodom,,"3 pokoje, 47 m2, Ochota",16.09.2024,https://www.otodom.pl/pl/oferta/3-pokoje-47-m2-ochota-ID4s3Y8,,mazowieckie,,1964
garaż/miejsce parkingowe,5 pokoiOgrzewanie:brak informacjiPiętro:> 10/16Czynsz:1 500 złStan wykończenia:do zamieszkaniaRynek:pierwotnyForma własności:pełna własnośćDostępne od:brak informacjiTyp ogłoszeniodawcy:biuro nieruchomości Informacje dodatkowe:garaż/miejsce parkingoweBudynek i materiałyRok budowy:2026Winda:nieOkna:plastikowe,Rok budowy:2026Winda:nieOkna:plastikowe,132.89,,Warszawa,16.09.2024,"- **Cena brutto**: 3 853 350 zł- **Cena za m²**: 28 997 zł- **Powierzchnia**: 132,89 m²- **Liczba pokoi**: 5- **Piętro**: 15- **Wysokość pomieszczeń**: 2,77 m- **Dodatkowe udogodnienia**: Winda, Monitoring na terenie inwestycjiZalety:- Nowoczesna, samowystarczalna dzielnica Warszawy- W zasięgu 15-minutowego spaceru: - **Multikino Wola Park** - **Ogrody Ulricha** - **Amfiteatr** - **Wolskie Centrum Kultury** - **Muzeum Powstania Warszawskiego** - Galerie sztuki, **Expo XXI** - Liczne restauracje i kawiarnie- Bliskość centrów handlowych - Sklepy, kino, restauracje- Szybki dostęp do placówek medycznych - Przychodnie, szpitale, gabinety weterynaryjne- Renomowane żłobki, przedszkola i szkoły w pobliżu- Ponad 100 hektarów zielonych terenów - Skwery i parki idealne do rekreacjiInteligentny dom:- **Bezprzewodowy system zarządzania**: sterowanie oświetleniem, temperaturą, urządzeniami elektrycznymi za pomocą smartfona lub głosowo- **Pakiet startowy w cenie**: możliwość rozszerzenia systemu zgodnie z potrzebami- Zdalny monitoring mieszkania, niezależnie od lokalizacjiUdogodnienia na osiedlu:- **Dostęp do części wspólnych** za pomocą aplikacji w smartfonie- Punkt odbioru paczek- **Stacja ładowania pojazdów elektrycznych**- Strefy rekreacyjne- **Rowerownie**",Wola,nie,,brak informacji,"Gumińska, Odolany, Wola, Warszawa, mazowieckie",pierwotny,28 997 zł/m²,3 853 350 zł,1 500 zł,,,Otodom,,Rodzinne 5-pokojowe w centrum Woli,16.09.2024,https://www.otodom.pl/pl/oferta/rodzinne-5-pokojowe-w-centrum-woli-ID4sv4l,,mazowieckie,plastikowe,2026
balkon piwnica,Ogrzewanie:miejskiePiętro:7/10Czynsz:880 złStan wykończenia:do remontuRynek:wtórnyForma własności:pełna własnośćDostępne od:2024-09-17Typ ogłoszeniodawcy:biuro nieruchomości Informacje dodatkowe:balkon piwnicaBudynek i materiałyRok budowy:1971Winda:takRodzaj zabudowy:blokMateriał budynku:wielka płytaOkna:plastikoweWyposażenieZabezpieczenia:domofon / wideofon,Rok budowy:1971Winda:takRodzaj zabudowy:blokMateriał budynku:wielka płytaOkna:plastikoweWyposażenieZabezpieczenia:domofon / wideofon,47.5,blok,Warszawa,16.09.2024,"Przedstawiam lokal mieszkalny na warszawskim Targówku, o powierzchni użytkowej 47,5 m2. Mieszkanie składa się z 3 pokoi, kuchni, łazienki z wc, przedpokoju oraz piwnicy o dodatkowej pow.1,9 m2. Lokal w stanie do remontu.Mieszkanie z Księgą Wieczystą bez zadłużeń, pełna własność.Mieszkanie znajduje się w 10 piętrowym bloku wybudowanym i oddanym do użytku w 1971 roku, na 7 piętrze, w dodatkowo zamkniętym korytarzu wraz z trzema innymi mieszkaniami, klatka schodowa wyposażona w dwie windy, Nie posiada przynależnego miejsca parkingowego, pod blokiem znajduje się ogólnodostępny parking.W budynku wykonano m.in. docieplenie, wymieniono piony wodne i kanalizacyjne, wyremontowano balkony.Dogodna lokalizacja w bezpośrednim sąsiedztwie szkoły podstawowej, w sąsiedztwie sklepów, aptek, lokali usługowych, przedszkola,pętli autobusowej Bródno Podgrodzie ok. 300m, Metra linii 2 ok 1 km(przystanek Kondratowicza), oraz Szpitala Bródnowskiego i rozległego parku bródnowskiego ok 800 mZapraszam do kontaktuIzabela Wyszyńska tel.",Targówek,tak,,miejskie,"ul. Chodecka, Bródno-Podgrodzie, Targówek, Warszawa, mazowieckie",wtórny,14 211 zł/m²,675 000 zł,880 zł,3,"domofon,wideofon",Otodom,ul. Chodecka,Targówek 3 pokoje ul. Chodecka,16.09.2024,https://www.otodom.pl/pl/oferta/targowek-3-pokoje-ul-chodecka-ID4sv4g,,mazowieckie,plastikowe,1971
